dataset_id,target_word
75,kalousis
386,hangeul 
798,disc
331,bobek
737,Jiménez
1196,guaraní
197,arias
1154,tearful
203,"gauge, oahu"
1153,endogenous
793,section
334,"janissary, fatih erkoç, müslüm gürses"
233,uighur 
989,hei
654,"kalaalleq, kalaallit"
1003,"caro, dear, carro"
1087,genus panthera
119,fallujah
448,joaquim
1184,hertzberg's
442,phen
439,"dzong, zhabdrung, ngawang, namgyal"
1074,"crete, santorini"
279,newt gingrich
899,calcium chloride
240,obanazawa
1392,low-tech
1447,kwazulu-natal
1330,cuerden
473,succession
661,employment
790,"mancunian, sydneysider"
1403,feet 
625,fields
164,avenger
103,filled
1433,sámi
901,"come, coming"
638,mri
636,resonance
21,hsieh
1277,pfannkuchen
1100,"bafokemg, rustenburg"
23,ties
475,"arson, herostratus"
251,hostel's
527,lastucci
1111,adekoya
1381,punakha
8,whitehall 
1104,goatherds 
530,duel
173,"find, allen's"
185,"jarque, coverciano, bolonia"
684,obscuredby
728,callejon 
18,deutsche
731,howe
313,hurt
1320,shetland
1163,amino-acid
599,"hooke, cork, microscope"
262,afcfta
1102,"internal, medication"
370,"cycads, cretaceous"
1396,"addition, cyanuric"
314,karno
1363,capercaillie
424,coalesced
135,karenia
618,mariori 
55,liberal
1206,artibonite
1374,transnistria
79,"maroochydore, clear"
84,hesperonychus
1165,stolen car
161,kenseth
468,muxloe
637,damadian
988,vidde
1218,loving
854,metrorail 
582,violent
476,"fame, outraged, herostratus'"
90,jourdain
9,protesters
757,agedness
388,"hangeul, hunmin jeongeum"
87,"pack, sealers"
1258,resignation 
483,dieties
1149,thomson 
1121,"kier, huhne, pryce"
550,"half-miler, beat "
673,received
302,vautier's
735,sirena
1142,hu
13,raonic
1448,encephalitis
965,"grachtengordel, binnenstad"
423,õ/õ
1020,"cites, boating"
407,tut
1372,bearing
546,"cadwalder, diversionary, bordentown"
889,bases
130,cowparade
128,wield
234,aleisk 
491,"krushchev, wladyslaw gomulka"
856,metroplus
432,aegean
998,intihuatana
48,"jonny reid, auckland"
513,affects relationships
26,"ovechkin's, night, nicklas, backstrom"
145,berhane asfaw
905,"funnels, storm clouds, tornadoes"
1235,added
396,invasion 
691,tonle
4,dilokrit pattavee
1488,"veguilla, kristoffer"
166,chhatrapati
24,ovechkin
722,arawakan-speaking
547,assunpink
200,arias
1007,agriculturalist
60,"reined, riina-driven, borsellino"
577,"room, cork"
1150,selections
522,"dreams, rem"
348,kowal
410,"tutankhamun, rare"
88,weise
500,pureland
1391,"giant slalom, gyöngyi dani of hungary"
189,morakot
769,"taizicheng, zhangjiakou"
1427,sufficiently
1179,qing
614,maori
497,herbane
1134,"chaco, guaycurú, payaguá"
287,"rspca, abattoirs"
1209,"merenids, anfa"
336,"sezen, haris alexious"
11,connaught 
1312,bowing
1061,ecuadorean galápagos
1390,"namibian, parliamentary, hifikepnuye pohamba"
558,bohr
1166,curries
288,o'shannessy
1123,sundarbans
65,são paulo marta
745,raised
80,noosa
1026,rossby
697,religious
6,barça
788,written
488,gurmat
27,jaromir jagr
712,galapagos
1358,zmapp
1386,kiryat
755,liners
175,allen
544,"stark, stake"
437,"drukgyal dzong, paro, phondey "
394,sealion
383,ethelred
879,being
192,kouns
892,mcmurdo
229,scarps
981,hypothermia
186,bolonia
743,"elderly, large"
853,"rotorua, geothermal, hangi, christchurch"
548,greene
559,neutrons
1323,sustainable
478,denied
723,tainos
685,tutankhamun
672,backcountry
581,sent
22,hsieh
196,massa
485,ecstatic
256,"led, part of"
1429,engender
32,piquet
352,surface
540,colonists 
373,descendant 
59,lo piccolo
58,hits
438,zhabdrung ngawang namgyel 
1246,toginet
34,piquet
885,taxis
384,trygvasson
3,grispen 
391,upanishads
1342,surface
276,komen's
341,unhurt
1321,apia
82,"hesperonychus elizabethae, dromaeosauridae"
738,minae
1124,nidicolous
1057,eighmey
782,motifs
1037,"recorded, pago, niue"
1471,overtopped
752,property
420,urdu
865,montezuma's
412,assyrians
1409,"devonport, prelude"
1088,battlefields
385,"ethelred, olaf"
167,"pakistani, militant, laskhar-e-taiba"
490,krushchev's
28,batten
1213,sámi
247,fata 
146,im
158,keselowski
772,"temple, festivities"
1073,cases
1232,bipedal
1322,danius
817,"successor, sightrunning"
1432,saroja balasubramanian
127,tipper
160,"bowyer kahne, truex"
990,crevasses
644,instructors
667,disney
282,protestors
911,spinning
182,legislation
1301,foetal lung
975,finger 
1226,madhya
1081,muskoka
1499,gillard
1482,runnels
791,argot
640,asynchronous 
270,palmeiras
382,"reconquest, danelaw"
1201,"kanjar, bhutha "
415,aristophanes
1296,oyapock
362,makes
744,rarotonga
1193,cailaber
428,thrace
984,flu
1238,"waitemata, heliers"
717,"araucanians, mapuche"
1110,"huhne, pryce"
266,sharipov
1075,reputable
213,no one
117,source
1361,plaited
842,bars
1383,zmapp
1137,"haldarsvík, eysturoy"
81,"maroochydore, caboolture"
850,hangi
900,slow
976,waver
1215,ur
590,plant
1281,hokuriku
