file_name,text,terms,pronunciations,voice,speed,language
audio/0.wav,[Łukasz Kubot](/wukaʂ kubɔt/) will present the new marketing strategy for [Imgur](/ˈɪmədʒər/) at the next corporate meeting.,"['Imgur', 'Łukasz Kubot']","['ˈɪmədʒər', 'wukaʂ kubɔt']",bf_lily,1.2,b
audio/1.wav,[Adriana Pirtea](/adriˈana ˈpirte̯a/) from [Milanówek](/mʲilanuvɛk/) will discuss the latest technological advancements in our software development.,"['Adriana Pirtea', 'Milanówek']","['adriˈana ˈpirte̯a', 'mʲilanuvɛk']",af_sky,1.3,a
audio/2.wav,[Alicia Vikander](/[aˈliːsɪa vɪˈkandɛr]/) has been invited to the annual [Ball](/ball/) to talk about our new business initiatives.,"['Alicia Vikander', 'Ball']","['[aˈliːsɪa vɪˈkandɛr]', 'ball']",bf_lily,1.4,b
audio/3.wav,[Chaloem Phra Kiat](/t͡ɕʰā.lɤ̌ːm pʰráʔ kìa̯t/) will be visiting our [Leopoldstadt](/[ˈleːopɔltˌʃtat]/) office to review the project progress.,"['Chaloem Phra Kiat', 'Leopoldstadt']","['t͡ɕʰā.lɤ̌ːm pʰráʔ kìa̯t', '[ˈleːopɔltˌʃtat]']",af_alloy,1.2,a
audio/4.wav,[Amalia](/ãˈmalʲja/) will lead the discussion on the [Fara](/fara/) project during the next team meeting.,"['Amalia', 'Fara']","['ãˈmalʲja', 'fara']",bm_george,1.4,b
audio/5.wav,[Ion I. C. Brătianu](/iˈon ˈi ˈt͡ʃe brətiˈanu/) will be coordinating the new initiative in [Ochiltree County](/ˈɒkəlˌtriː/).,"['Ion I. C. Brătianu', 'Ochiltree County']","['iˈon ˈi ˈt͡ʃe brətiˈanu', 'ˈɒkəlˌtriː']",bf_lily,1.2,b
audio/6.wav,Our team in [[Wharton](/ˈhwɔːrtən/) County](/ˈhwɔːrtən/) will collaborate with [Wharton](/ˈhwɔːrtən/) on the upcoming tech conference.,"['Wharton County', 'Wharton']","['ˈhwɔːrtən', 'ˈhwɔːrtən']",af_heart,1.3,a
audio/7.wav,The [Ban Tak](/bâːn tàːk/) office will be working closely with [Ban Chang](/bâːn t͡ɕʰǎːŋ/) to streamline our operations.,"['Ban Tak', 'Ban Chang']","['bâːn tàːk', 'bâːn t͡ɕʰǎːŋ']",af_heart,1.3,a
audio/8.wav,[Bang Bua Thong](/bāːŋ būa tʰɔ̄ːŋ/) and [Bang Lamung](/bāːŋ lāmūŋ/) teams will be merging to enhance our service delivery.,"['Bang Bua Thong', 'Bang Lamung']","['bāːŋ būa tʰɔ̄ːŋ', 'bāːŋ lāmūŋ']",af_kore,1.3,a
audio/9.wav,The new project will be launched in [Bang Pa-in](/bāːŋ pāʔīn/) with support from the [Bo Kluea](/bɔ̀ː klɯ̄a̯/) team.,"['Bang Pa-in', 'Bo Kluea']","['bāːŋ pāʔīn', 'bɔ̀ː klɯ̄a̯']",am_michael,1.3,a
audio/10.wav,[Łukasz Kubot](/wukaʂ kubɔt/) will be showcasing the latest features of [Imgur](/ˈɪmədʒər/) in the upcoming tech summit.,"['Imgur', 'Łukasz Kubot']","['ˈɪmədʒər', 'wukaʂ kubɔt']",am_liam,1.3,a
audio/11.wav,[Adriana Pirtea](/adriˈana ˈpirte̯a/) from [Milanówek](/mʲilanuvɛk/) will provide insights on the new software development trends.,"['Adriana Pirtea', 'Milanówek']","['adriˈana ˈpirte̯a', 'mʲilanuvɛk']",af_sarah,1.3,a
audio/12.wav,[Alicia Vikander](/[aˈliːsɪa vɪˈkandɛr]/) will be the keynote speaker at the annual [Ball](/ball/) discussing business growth.,"['Alicia Vikander', 'Ball']","['[aˈliːsɪa vɪˈkandɛr]', 'ball']",am_michael,1.3,a
audio/13.wav,[Chaloem Phra Kiat](/t͡ɕʰā.lɤ̌ːm pʰráʔ kìa̯t/) will visit [Leopoldstadt](/[ˈleːopɔltˌʃtat]/) to evaluate the progress of our latest project.,"['Chaloem Phra Kiat', 'Leopoldstadt']","['t͡ɕʰā.lɤ̌ːm pʰráʔ kìa̯t', '[ˈleːopɔltˌʃtat]']",af_heart,1.2,a
audio/14.wav,[Amalia](/ãˈmalʲja/) will present the findings of the [Fara](/fara/) project in the next corporate meeting.,"['Amalia', 'Fara']","['ãˈmalʲja', 'fara']",af_kore,1.1,a
audio/15.wav,[Ion I. C. Brătianu](/iˈon ˈi ˈt͡ʃe brətiˈanu/) will oversee the new development in [Ochiltree County](/ˈɒkəlˌtriː/).,"['Ion I. C. Brătianu', 'Ochiltree County']","['iˈon ˈi ˈt͡ʃe brətiˈanu', 'ˈɒkəlˌtriː']",am_fenrir,1.4,a
audio/16.wav,The collaboration between [[Wharton](/ˈhwɔːrtən/) County](/ˈhwɔːrtən/) and [Wharton](/ˈhwɔːrtən/) will be crucial for our next project.,"['Wharton County', 'Wharton']","['ˈhwɔːrtən', 'ˈhwɔːrtən']",am_echo,1,a
audio/17.wav,[Ban Tak](/bâːn tàːk/) and [Ban Chang](/bâːn t͡ɕʰǎːŋ/) offices will work together to improve our service delivery.,"['Ban Tak', 'Ban Chang']","['bâːn tàːk', 'bâːn t͡ɕʰǎːŋ']",af_sarah,1.2,a
audio/18.wav,The merger of [Bang Bua Thong](/bāːŋ būa tʰɔ̄ːŋ/) and [Bang Lamung](/bāːŋ lāmūŋ/) teams will enhance our operational efficiency.,"['Bang Bua Thong', 'Bang Lamung']","['bāːŋ būa tʰɔ̄ːŋ', 'bāːŋ lāmūŋ']",bm_daniel,1.2,b
audio/19.wav,The new initiative will be launched in [Bang Pa-in](/bāːŋ pāʔīn/) with support from [Bo Kluea](/bɔ̀ː klɯ̄a̯/).,"['Bang Pa-in', 'Bo Kluea']","['bāːŋ pāʔīn', 'bɔ̀ː klɯ̄a̯']",am_liam,1,a
audio/20.wav,[Łukasz Kubot](/wukaʂ kubɔt/) will demonstrate the new [Imgur](/ˈɪmədʒər/) features at the tech conference.,"['Imgur', 'Łukasz Kubot']","['ˈɪmədʒər', 'wukaʂ kubɔt']",bf_alice,1.1,b
