dataset_id,target_word
train_pc_ma_hv110_pc_ma_hv110_1036_4772.03_4775.75.wav,cidade
train_pc_ma_hv092_pc_ma_hv092_414_2655.88_2659.90.wav,conhecia
train_pc_ma_hv142_pc_ma_hv142_434_2229.53_2232.03.wav,doente
train_pc_ma_hv026_pc_ma_hv026_993_3426.837_3428.478.wav,dona
train_mb_hv109_mb_hv109_696_3477.45_3492.64.wav,"gente, três"
train_pc_ma_hv208_pc_ma_hv208_110_485.339_487.97999999999996.wav,vida
train_mb_hv129_mb_hv129_871_2197.84_2198.72.wav,dinheiro
train_pc_ma_hv056_pc_ma_hv056_869_4180.18_4182.98.wav,contar
train_pc_ma_hv197_pc_ma_hv197_608_2423.36_2424.30.wav,eu
train_pc_ma_hv208_pc_ma_hv208_74_352.954_360.14099999999996.wav,tentando
train_pc_ma_hv247_pc_ma_hv247_1071_4923.324_4929.568.wav,família
train_pc_ma_hv043_pc_ma_hv043_65_314.16_319.944.wav,niuaque
train_pc_ma_hv213_pc_ma_hv213_106_666.789_668.99.wav,kelmo
train_pc_ma_hv018_pc_ma_hv018_168_1095.063_1104.849.wav,grandes sertão-veredas
train_pc_ma_hv240_pc_ma_hv240_1260_5458.315_5460.336.wav,agrônomo
train_pc_ma_hv008_pc_ma_hv008_174_904.496_906.799.wav,irmão
train_mb_hv127_mb_hv127_21_70.86_72.46.wav,rio grande do norte
train_pc_ma_hv156_pc_ma_hv156_1690_11916.27_11925.94.wav,erundina
train_pc_ma_hv008_pc_ma_hv008_1479_7234.315_7237.897.wav,creche plan
train_pc_ma_hv028_pc_ma_hv028_551_3895.289_3897.911.wav,aids
train_pc_ma_hv194_pc_ma_hv194_63_284.42_285.85.wav,poças
train_mb_hv129_mb_hv129_595_1545.57_1546.01.wav,ouro
train_pc_ma_hv193_pc_ma_hv193_755_3201.65_3204.49.wav,gente
train_pc_ma_hv256_pc_ma_hv256_888_4213.271_4216.872.wav,pele
train_pc_ma_hv017_pc_ma_hv017_520_1762.882_1771.011.wav,hiper
train_pc_ma_hv141_pc_ma_hv141_719_2898.12_2907.84.wav,dizendo
train_pc_ma_hv228_pc_ma_hv228_1041_4580.685_4582.826.wav,carro
train_pc_ma_hv061_pc_ma_hv061_636_4142.298_4150.002.wav,zurich
train_pc_ma_hv184_pc_ma_hv184_608_3068.774_3072.758.wav,shabbat
train_pc_ma_hv221_pc_ma_hv221_399_2588.132_2595.398.wav,poltrona
train_pc_ma_hv205_pc_ma_hv205_933_3844.321_3846.803.wav,falou
train_pc_ma_hv028_pc_ma_hv028_987_7281.151_7284.493.wav,falou
train_pc_ma_hv012_pc_ma_hv012_1518_5834.507_5841.03.wav,judiaram
train_mb_hv112_mb_hv112_459_1332.96_1339.92.wav,casca
train_pc_ma_hv168_pc_ma_hv168_475_2349.49_2354.41.wav,"queria, sair"
train_pc_ma_hv242_pc_ma_hv242_546_2218.93_2222.212.wav,senhor
train_pc_ma_hv021_pc_ma_hv021_150_771.13_777.577.wav,nós
train_mb_hv105_mb_hv105_1236_4443.08_4444.44.wav,estou te dizendo
train_pc_ma_hv221_pc_ma_hv221_2079_12654.399_12668.969.wav,varanda
