dataset_id,target_word
269,"condenação, mensagens, ""spam"""
88,Jeff Weise
987,Fiordes
476,heróstrato
725,jardín de la unión
20,"Ma, Nova Iorque"
72,"Sakis Kechagioglou, George Nikolakopoulos, Prisão de Korydallus"
22,"hsie, ma"
864,climas
1181,remonta
338,Peter Lenz
1363,"ursos pardos, tetrazes"
391,"compilação, upanixades o sânscrito"
465,justas
69,oakland
372,triceratops
717,araucanos (mapuches)
960,"taiti, latam oneworld"
244,siriporn
74,"makis triantafylopoulos, tv zougla, alpha tv"
306,judoca
112,"e idaho, em utah, tom doxbury, da stardust"
1353,"transporte extra, wembley"
671,cânion
6,"vidal, do sevilha"
1489,fluke
732,sea to sky
397,caçula
1139,topografia
238,seixos
307,intra-hepático
1246,toginet
181,"adulterados, hall"
1429,"geram, diariamente"
371,"pequena palmeira, folhas pontudas, cortantes"
109,parecer
1306,colonialismo. da europa
1471,"ala nova, transbordado"
193,montanha-russa
1219,EUA
439,"drukgyal dzong, zhabdrung ngawang namgyal"
718,mapuches
1309,"anna jochemsen, nona, (em pé), super-g, décima"
143,testar
336,sezen aksu
1390,"Namíbia, hifikepunye pohamba, margem"
1249,"agendou, voos"
281,hannover
417,"hindi, falada"
1096,petersbugo
1142,hu
326,"preveem, Danielle"
740,ilhas cook
79,"maroochydore, noosa"
1276,pennsylvania
509,tríade
710,isso posto
25,"e 2 assistências, do atlanta thrashers"
239,stofan
498,gangrena
211,o agente
41,
455,lentes zoom
75,kalousis
50,"sr reid, o black beauty"
597,cella
277,stearns
1411,mosteiros
16,"o panama papers, (documentos do panamá)"
135,karenia brevis
280,"romney, a indicação"
378,olhar para o
161,stewart gordon kenseth
97,ii-76
274,
907,proxies
288,david o'shannessy
1381,"táxis, paro, punakha"
250,hajj
1467,nova iorque
1475,montanhas ellsworth
690,"siem reap, rei yasovarman"
724,fray bartolomé
849,bumerangues
77,roe v wade
86,pittman
640,comunicação assíncrona
1090,previstas
266,"chiao, sharipov"
1431,cerebrais
196,massa
414,"homero, ilíada"
475,"ártemis, éfeso, heróstrato"
884,uptown
348,franciszek kowal
437,"drukgyel dzong, vila phondey"
1330,"adam cuerden, wikinews"
173,"allen, musashi"
385,ethelred
1262,mohenjo-daro
582,tornados
668,"ebay, craigslist"
394,"operação sealion, dunquerque"
1114,países cristãos
481,acordeão
1134,"região de chaco, guaicurus"
1439,cubomedusa
1464,wonders
339,lenz
1434,candaar
1200,taiwan
78,roe
107,aiatolá
965,"canal district, grachtengordel, binnenstad"
853,"rotorua, hangi geotérmico"
1043,dólares australianos
1066,arganaz
1014,butte
571,monomórficos
1265,pontes
392,sânscrito
70,"war memorial stadium, fãs"
599,robert hooke
622,forças motrizes
1022,chambers
1037,niue
517,hominídeos
744,"ilhas cook, rarotonga"
958,hemisfério sul
734,pistas de esqui
500,pureland
166,"chhatrapati shivaji terminus, hotel tak mahal"
424,iluminismo
1323,yuan
387,rei sejongue
413,sela 
607,religiosos filosóficos
1153,fisiologia
1,impressoras jato
923,tarifas
272,"lee, influenza"
125,"daily show, colbert report heck"
786,hostil
1451,u-boats
1423,insetos
1110,"huhne, pryce, westminster"
49,senhor reid
1234,liggins
99,alasca
84,hesperonychus  
34,grande prêmio
1383,"zmapp, estudo palm"
82,"hesperonychus elizabethae, dromaeosauridae"
967,"riomaggiore, corniglia vernazza, monterosso, ligúria"
21,"hsieh, ma"
38,vila sésamo
489,guru nanak
59,lo piccolo
1227,ring
1076,nova iorque
331,bobek
616,"moriori, chatham"
248,artigo 
384,trygvasson
1433,"sámi, sápmi"
287,royal society for the prevention of cruelty to animals
1011,neozelandeses
313,buffalo
739,cafenet el sol
127,tipper
843,bares
1321,apia
1057,eighmey
854,"metrorail, metroplus"
736,san pedrillo
117,enceladus
1326,"brooks, groening, time de escritores"
1263,cidades-estado
442,phnom phen
1281,shika
451,"serengeti, ngorongoro, maswa, tanzânia, reserva nacional maasai mara"
1272,bornéu
746,b&bs
1215,"médico ehud, dalhousie, canadian diabetes association"
256,apollo-soyuz
1482,dustin goldust runnels
263,"muchanga, benin"
685,"tutancâmon, howard"
691,lago tonle sap
1127,"tagines, narguilés, bugigangas"
491,"krushchev, wladyslaw gomulka"
860,draconianas
137,algas
1504,judicário nacional
118,encélado
1177,timbuktu
487,sikhs
335,whirling dervishes
626,técnicas existentes
1474,"mick, conservação"
4,dilokrit pattavee
680,"zimbábue, livingstone, botswana"
1105,khufu
1036,"hershey, chase"
1010,ames straw poll
1495,"livingston, porto natural"
769,"taizicheng, zhangjiakou"
1374,república a transnístria
490,krushchev
1184,herzberg
871,rede
48,jonny reid
1485,royalties
224,blake
527,lastucci
11,aldwych
962,azeris
1002,"ronald reagan, ucla"
333,cirque du soleil
100,"válvulas de alívio, fort greely"
800,alces
738,minae
1190,bishkek
1344,guepardos
735,sirena
696,religões monoteístas
1133,medecines sans frontiere
265,estação
1409,"hospital mersey, devonport"
1253,fago
996,westjet
947,lago ladoga
1449,muhammad
920,gps autônomo
149,banco northern
548,greene
1322,danius
