dataset_id,target_word
4329526-305,cities
4463693-43,destinations
4468307-292,filipe
4482264-489,npls
4463259-245,pfc
4469590-247,fourth quarter
4483912-279,guidelines
MP3-A-273,"afam, ughelli"
4468647-304,other quarters
4467079-26,entering
4471586-128,retention
4471809-234,gastronet
4466607-403,renovation
4481552-336,vikas
4481601-133,gross margin
4466797-95,renewals
4466797-100,slide eight
4483733-264,arie
4329526-49,review
4474229-249,"old, prince"
4479944-291,"inr, crores"
2020-Annual-Results-Call-Recording-45,face
4470010-155,transition
4485206-165,"exciting, servicing channels"
4468678-336,"project rate, graduates"
4483733-166,csp
4481967-336,nand
4453225-262,africa
4329526-15,de valle
4483912-277,"ryan hut, infineon"
MTN-Ghana-2021-Third-Quarter-Results-Call-98,"preshendran odayar, nedbank"
4484146-345,tuition
4483320-119,sverdrup
4466607-435,in-depth analysis
4467434-197,epe
4443920-218,"ada's, competitors"
4479944-118,loans
4479944-86,"driven, spend"
4446796-188,"mohammad, mm"
4483623-10,exco
4430051-35,won
4481967-125,first quarter
4483506-174,fitch
4469208-228,ebidta
4485192-14,wwwedgewellcom
4483733-256,orsted's
4466718-549,nequi
4482264-260,q on q
4453076-100,"tariff hikes, arpu"
4468000-39,derogative
4464164-138,"egt asset, positional change"
4479944-95,inr
4482641-431,in-house
4482641-202,consumer raters
MP3-A-261,"rent, naira"
4483297-156,kroner
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call-384,exo-ecosystem
4468000-151,age one
4453076-59,"trillion rp, it services, segment revenue"
4484088-506,arturo
4482609-592,"fees, issuance"
4482641-43,other tester
4443920-50,biedronka
4483912-86,aurix
4372696-110,rights issue
4450779-186,dual performance
4468919-142,alma
4481952-501,permit
4483297-212,gunder sekmen
4430051-34,foreign language
4452058-98,"hepsijet, hepsilojistik"
4468678-649,metals
4470570-213,shipments
4469088-810,mohammed
4483506-372,"epns, to cue, vitium,  rick verse"
4466251-200,presentation
4467079-101,soya bean
4483670-68,"contributed, contraction"
4470663-35,"salgueiro, paraguacu"
4482983-200,spodumene
4481952-307,reports
4466251-26,data
4466399-60,data delivery
4484563-673,crosstalk
4329526-144,covid
4482613-525,board of directors
4481952-11,lawrie
4474955-9,irquidiancom
4469184-82,"accreditive, rate"
4469088-424,covid
4469291-191,governmental
4467071-33,health
4483733-625,hornsea
4471809-54,"qurna-2, quarter-on-quarter, opec+ agreement"
4483320-472,titer
4475486-42,conversion
4452058-126,"ebitda, tl"
4466607-187,ebitd 
4426736-408,"international, partner team"
4468678-182,european
4482249-404,left domain
4452058-228,"hepsipay, cuzdanim, june"
4484942-38,aurubis
4482613-297,"disinvest, ofs"
4484563-301,four pillars
4471606-398,turkish share
4470684-496,nish 
4482569-79,"russia, seasonal demand, biosimilar, bevacizumab"
4483320-149,aker
4329526-21,hut
4484146-294,rouven
4466718-386,recalculation
4484563-229,"erectile, rx-to-otc"
4479944-16,capital adequacy
4468678-507,sustainable
4468678-329,ebda
4463693-11,yun tae
4453076-82,ebitda
4481221-43,sify's partner
4450779-89,simulating
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call-476,momo
MTN-Ghana-2021-Third-Quarter-Results-Call-284,"cashout, p2p"
4475486-114,"ndem, natural disasters"
4482613-119,vab
4469088-632,debt-to- ebitda
4481601-325,"offers, improve production"
4468919-95,seasonality
4483912-113,infrastructure equipment
4483912-238,automotive
4423872-290,fx trading
4463259-61,"recovery, ford"
4469184-375,share buybacks
4469184-248,liquidity
4470684-351,ruby
4481952-172,iisc
