dataset_id,target_words
S_000658-000026.flac,yeats
S_000658-000022.flac,chakram
S_000658-000020.flac,ankles
S_000658-000019.flac,hilaire belloc
S_020502-000000.flac,gracemere homestead
S_001289-000003.flac,lead
S_002144-000007.flac,mobutu sese seko
S_009236-000000.flac,"wahidullah kalimzai, kunar province"
S_009236-000014.flac,son
S_007587-000017.flac,peter lovelace
S_009161-000001.flac,hobbits
S_015851-000000.flac,clothes
S_008961-000001.flac,jockey
S_001046-000021.flac,portugal
S_001046-000041.flac,salama
S_001046-000034.flac,harman's appeal
S_001046-000027.flac,mateen
S_001046-000010.flac,souvenirs
S_001046-000025.flac,stardock's
S_004332-000005.flac,boston's
S_004332-000014.flac,theatres
S_004332-000004.flac,linesville
S_004332-000007.flac,filefish
S_004332-000011.flac,"hatchet-cuckoo oil company,  dust bowl"
S_000840-000000.flac,recorded
S_000840-000005.flac,samples
S_000840-000002.flac,slot
S_000840-000001.flac,"belgium, europe, france, italy"
S_006394-000001.flac,club
S_002495-000026.flac,leopard hulls
S_002495-000032.flac,sap
S_002495-000036.flac,fairy penguin
S_002495-000011.flac,tomalak
S_003200-000002.flac,anderson
S_001913-000004.flac,passaic river terminals
S_001913-000007.flac,"concept, moot"
S_000097-000026.flac,pacific islander
S_000097-000065.flac,northop
S_000097-000090.flac,fuselage extensions
S_000097-000012.flac,serbian rulers
S_000097-000005.flac,vondel
S_000097-000042.flac,claudius ptolemy
S_000097-000046.flac,gabrieli's
S_000097-000068.flac,sundays river valley
S_000097-000053.flac,grew
S_000097-000010.flac,expropriation
S_000097-000096.flac,munsinger
S_000097-000013.flac,"tail, potto"
S_000097-000056.flac,patronage
S_000097-000045.flac,form
S_000097-000086.flac,henderson
S_000097-000073.flac, unique heat treatments
S_000097-000063.flac,organist johnny hammond's
S_000097-000019.flac,"penn lake park,  wilkes-barre"
S_022508-000003.flac,blake
S_022418-000012.flac,mir
S_022418-000016.flac,regina spektor
S_022418-000017.flac,jenks
S_010817-000000.flac,stacey
S_010817-000006.flac,jeans
S_002930-000003.flac,cologno
S_016690-000000.flac,green
S_010200-000000.flac,"three, bunny's four"
S_019307-000010.flac,clothes
S_019307-000006.flac,touched
S_012647-000026.flac,subcommittees report
S_012647-000007.flac,puff-throated
S_012647-000052.flac,latouche
S_018556-000003.flac,olga slavnikova
S_016084-000118.flac,barabajagal
S_016084-000044.flac,basic products
S_016084-000109.flac,brith shalom
S_016084-000132.flac,ockham
S_016084-000105.flac,kota tinggi museum
S_016084-000089.flac,feudal property
S_016084-000005.flac,"kanabo, konsaibo"
S_016084-000081.flac,portman
S_016084-000166.flac,jarrett
S_016084-000199.flac,quapaw
S_016084-000029.flac,flank
S_016084-000165.flac,jeff taves
S_016084-000062.flac,linda ridgway
S_000331-000005.flac,amphenol aerospace corporation
S_000331-000002.flac,helen natalie pugh noble
S_000331-000003.flac,"foreign, lambada"
S_000331-000011.flac,volcanic tuff
S_019185-000002.flac,south tyrolean artists association
S_005384-000027.flac,cupboard
S_005384-000016.flac,tenants
S_005384-000007.flac,hampton convocation center
S_005384-000028.flac,perl
S_005384-000009.flac,linola varieties
S_001890-000000.flac,warner brothers
S_010282-000030.flac,jal car
S_010282-000016.flac,running
S_010282-000007.flac,asian
S_010282-000036.flac,man
S_019203-000002.flac,sekiwake
S_021825-000005.flac,hash functions
S_015269-000015.flac,veal
S_015269-000053.flac,price
S_015269-000002.flac,rainier
S_015269-000038.flac,pncn
S_015269-000029.flac,publishing house
S_015269-000048.flac,trains
S_015269-000017.flac,"mysore, elephant herds"
S_015269-000008.flac,stickney
S_003009-000000.flac,"elegant interplay, glass"
S_003009-000001.flac,circumpolar stars
S_015182-000002.flac,blow
S_006215-000021.flac,peebles
S_006215-000041.flac,sink
S_006215-000049.flac,paul
S_006215-000002.flac,"chlorite interlays, brucite"
S_006215-000043.flac,compares
S_006215-000036.flac,skirmishers
S_006215-000028.flac,bills
S_016511-000008.flac,jim mooney
S_016511-000011.flac,selawik
S_020619-000080.flac,radome
S_020619-000041.flac,gandhiji's
S_020619-000042.flac,barefoot landing
S_020619-000082.flac,prion
S_020619-000002.flac,petals
S_020619-000057.flac,console
S_020619-000056.flac,cheech marin
S_020619-000045.flac,women
S_020619-000025.flac,keenan
S_006544-000000.flac,priory
S_017953-000040.flac,"ledo's, mid-atlantic skateboard"
S_017953-000164.flac,south african minister prime j
S_017953-000050.flac,mast
S_017953-000144.flac,mcgaha
S_017953-000153.flac,hill
S_017953-000046.flac,"licensed, winona, minnesota"
S_017953-000148.flac,tempera
S_017953-000077.flac,suffocate
S_017953-000081.flac,ministerial
S_017953-000160.flac,integration
S_017953-000032.flac,dissent
S_017953-000157.flac,cato
S_017953-000123.flac,south porcupine
S_017953-000205.flac,thin lizzy
S_017953-000055.flac,victor westerholm
S_017953-000196.flac,wendigo
S_017953-000182.flac,quark
S_017953-000019.flac,discussion forum
